date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2021-10-02,121245.85789288362,3070.457331722305,1350.3706320613687,656,186,97,91,106,62,39,43,21,3
2021-10-03,122027.69459254456,2132.207331722305,1457.3706320613687,645,289,85,85,84,74,49,60,19,11
2021-10-04,122382.0312922055,1811.7073317223048,3170.703965394702,668,723,454,255,274,304,156,167,78,24
2021-10-05,121935.30132519976,2723.9739983889717,3102.953965394702,804,365,492,303,330,290,171,202,111,35
2021-10-06,121844.57135819404,3012.2239983889713,3126.453965394702,844,327,399,283,335,318,169,214,87,38
2021-10-07,121735.8413911883,3017.7239983889717,3202.253965394702,833,428,284,331,369,346,192,190,85,33
2021-10-08,121466.91142418257,2933.3239983889716,2857.753965394702,916,404,261,259,310,216,129,178,72,24
2021-10-09,121675.98145717684,3066.8239983889716,1376.5039653947022,672,176,115,82,100,60,43,62,18,2
2021-10-10,122424.05149017111,2124.5739983889716,1426.361108251845,637,299,108,91,82,61,41,41,25,5
2021-10-11,122683.4072374511,1685.7168555318287,2640.361108251845,577,631,365,210,208,198,118,140,75,29
2021-10-12,122405.76298473107,2362.7168555318285,3214.8071399978767,663,413,535,290,351,321,170,225,104,37
2021-10-13,122556.3901605825,3365.434315849289,3267.176839601856,936,317,422,311,367,304,172,224,120,34
2021-10-14,122158.57166851156,2869.358347530927,3008.9167929127893,812,421,272,316,368,279,168,186,92,33
2021-10-15,122043.41181398212,2893.7569383833534,2873.7084685941822,900,451,247,278,304,237,131,173,67,26
2021-10-16,122117.09520177335,2947.3918563854018,1288.2084685941825,617,179,103,86,96,79,45,35,15,2
2021-10-17,122848.27858956456,2019.3918563854018,1443.3513257370396,632,284,101,91,76,69,55,61,24,8
2021-10-18,123155.17626307007,1750.2489992425444,3411.2203733560873,703,776,514,280,299,290,172,199,78,33
2021-10-19,122607.66322228986,2863.707332575878,3050.4870400227537,781,320,469,282,354,312,151,213,74,39
2021-10-20,122448.41684817632,2891.240665909211,3136.4870400227537,816,398,365,303,352,297,181,212,107,35
2021-10-21,122325.83714072945,3013.9073325758777,2537.227119387833,1159,579,505,573,661,503,299,410,190,62
2021-10-22,122471.97370312383,2683.363681782227,2528.227119387833,2,1,0,0,0,1,1,0,0,0
2021-10-23,122611.11026551823,2667.363681782227,1348.7271193878332,805,61,104,68,106,77,32,50,14,4
2021-10-24,123403.24682791262,2140.863681782227,1483.7271193878332,630,290,119,82,100,96,44,58,25,12
2021-10-25,123693.38339030702,1773.863681782227,3528.5271193878334,698,1019,339,251,290,280,188,232,109,38
2021-10-26,122995.58661936808,2830.730348448894,3301.003309864024,771,362,476,346,403,336,209,248,113,47
2021-10-27,122723.71841985772,3029.135110353656,3245.003309864024,805,389,386,313,402,310,180,251,112,36
2021-10-28,122511.85022034735,3033.135110353656,4423.003309864023,867,443,316,343,396,601,409,517,288,99
2021-10-29,122400.23202083698,4311.385110353655,2659.9199765306903,867,391,287,188,278,235,122,159,81,22
2021-10-30,122587.69715465994,2847.385110353656,1305.9199765306903,638,203,109,88,86,59,37,47,17,1
2021-10-31,123355.1622884829,2073.385110353656,1629.9199765306903,653,295,101,101,141,116,64,92,43,12
2021-11-01,123575.87742230587,1850.6351103536556,3689.4199765306903,735,750,602,288,342,293,181,260,129,39
2021-11-02,122900.34255612883,3013.885110353656,3248.384262244976,810,323,520,311,390,333,185,246,96,30
2021-11-03,122672.62911852323,3020.67082463937,3420.884262244976,821,432,423,352,409,329,199,273,129,59
2021-11-04,122330.91568091762,3079.17082463937,3325.084262244976,857,462,365,349,402,297,181,249,87,32
